course_of_action	attack_pattern
#269:56	#179:5
#282:28	#172:15
#3660:29	#3200:9
#3659:42	#3191:2
#3659:24	#3206:8
#254:38	#206:2
#280:93	#182:9
#3661:86	#3193:2
#3661:174	#3208:4
#3669:52	#3216:2
#266:47	#179:2
#3661:151	#3191:2
#249:47	#204:11
#249:41	#193:7
#3659:82	#3191:2
#254:70	#170:4
#272:23	#201:0
#3660:25	#3191:2
#254:47	#178:5
#280:93	#179:7
#3660:90	#3194:6
#274:24	#208:1
#267:43	#204:6
#272:12	#208:1
#282:10	#193:9
#3661:196	#3207:4
#3662:73	#3191:2
#260:94	#196:10
#274:95	#196:15
#256:80	#182:2
#284:90	#205:13
#272:15	#190:13
#276:84	#183:14
#284:21	#197:2
#282:28	#187:12
#274:78	#203:12
#269:56	#183:3
#284:90	#179:5
#3661:118	#3191:2
#254:38	#178:11
#3659:94	#3191:2
